Loanapp_ID,Sex,Marital_Status,first_name,last_name,email,address,Dependents,Qual_var,SE,App_Income_1,App_Income_2,CPL_Amount,CPL_Term,Credit_His,INT_ID,Prev_ID,AGT_ID,Prop_Area
CPL001015,M,Y,Dollie,Scafe,dscafe0@is.gd,02 Garrison Pass,0,Grad,N,6864,0,132,360,1,6869736235,79-489-1539,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_4; en-US) AppleWebKit/534.17 (KHTML, like Gecko) Chrome/11.0.655.0 Safari/534.17",Urban
CPL001022,M,Y,Kim,Arne,karne9@infoseek.co.jp,6568 Dwight Point,1,Grad,N,3691.2,1800,151.2,360,1,3383749711,75-757-9174,"Mozilla/5.0 (Macintosh; Intel Mac OS X 10_7_2) AppleWebKit/535.1 (KHTML, like Gecko) Chrome/14.0.834.0 Safari/535.1",Urban
CPL001031,M,Y,Niccolo,Ramble,nramblef@gov.uk,3504 Lukken Park,2,Grad,N,6000,2160,249.6,360,1,7247894032,42-085-4345,"Mozilla/5.0 (Windows NT 6.1; WOW64) AppleWebKit/534.30 (KHTML, like Gecko) Chrome/12.0.742.53 Safari/534.30",Urban
CPL001035,M,Y,Rabbi,Haig,rhaigg@tiny.cc,1334 Florence Way,2,Grad,N,2808,3055.2,120,360,,3240492342,10-813-9695,"Mozilla/5.0 (X11; Linux i686) AppleWebKit/534.23 (KHTML, like Gecko) Chrome/11.0.686.3 Safari/534.23",Urban
CPL001051,M,N,Gracie,Winear,gwinearj@devhub.com,9800 Ridge Oak Crossing,0,Non Grad,N,3931.2,0,93.6,360,1,1670564037,20-195-4948,"Mozilla/5.0 (Windows NT 6.0) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.696.3 Safari/534.24",Urban
CPL001054,M,Y,Rockwell,Shiers,rshiersl@unicef.org,25816 Fulton Trail,0,Non Grad,Y,2598,4106.4,182.4,360,1,9711661659,73-819-5166,"Mozilla/5.0 (Windows; U; Windows NT 5.1; en-US) AppleWebKit/534.19 (KHTML, like Gecko) Chrome/11.0.661.0 Safari/534.19",Urban
CPL001055,F,N,Nikki,Rendall,nrendalln@wikispaces.com,10 Ramsey Circle,1,Non Grad,N,2671.2,0,70.8,360,1,1394867344,52-528-1887,Mozilla/5.0 (X11; U; Linux i686; en-US; rv:1.9.1.16) Gecko/20120421 Firefox/11.0,Semi U
CPL001056,M,Y,Josee,Decayette,jdecayetter@epa.gov,4340 Dakota Terrace,2,Non Grad,N,4657.2,0,176.4,360,0,2824587695,54-382-3658,"Mozilla/5.0 (Macintosh; U; PPC Mac OS X 10.5; en-US; rv:1.9.1b3pre) Gecko/20081212 Mozilla/5.0 (Windows; U; Windows NT 5.1; en) AppleWebKit/526.9 (KHTML, like Gecko) Version/4.0dp1 Safari/526.8",Rural
CPL001059,M,Y,Bernice,Arnett,barnettu@photobucket.com,0595 Manufacturers Lane,2,Grad,,16359.6,0,336,240,1,3551827761,39-114-7700,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; zh-cn) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",Urban
CPL001067,M,N,Alex,Baggallay,abaggallayv@hao123.com,6182 Cody Hill,0,Non Grad,N,2880,2880,147.6,360,1,2968852752,55-834-2714,"Mozilla/5.0 (Windows NT 6.0; WOW64) AppleWebKit/534.24 (KHTML, like Gecko) Chrome/11.0.699.0 Safari/534.24",Semi U
CPL001078,M,N,Morgen,Chrestien,mchrestieny@jalbum.net,9 Mifflin Circle,0,Non Grad,N,3709.2,0,108,360,1,6811725737,41-222-9011,Mozilla/5.0 (Windows NT 5.1; rv:11.0) Gecko Firefox/11.0,Urban
CPL001082,M,Y,Hattie,Philliskirk,hphilliskirk11@huffingtonpost.com,847 Ludington Crossing,1,Grad,,2622,1819.2,194.4,360,1,3772631886,40-789-2193,"Mozilla/5.0 (Windows; U; Windows NT 6.1; en-US) AppleWebKit/534.17 (KHTML, like Gecko) Chrome/11.0.655.0 Safari/534.17",Semi U
CPL001083,M,N,Blanch,Loughman,bloughman13@360.cn,95345 Hanson Center,3+,Grad,N,4999.2,0,48,180,,4816775218,63-418-6351,"Mozilla/5.0 (Macintosh; U; Intel Mac OS X 10_6_6; en-gb) AppleWebKit/533.20.25 (KHTML, like Gecko) Version/5.0.4 Safari/533.20.27",Urban
